期間,出口-合計_原始值,出口-合計_年增率(%),出口-合計_原始值,出口-合計_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%)
2006M09,"658,867",19.43,"20,081.3",18.12,"4,683",15.57,142.7,14.25,"3,990",9.92,121.6,8.67,694,-1.14,21.2,-1.85,"1,425",5.95,43.4,4.58,"33,613",11.61,"1,024.5",10.39,"33,438",24.50,"1,019.1",23.12,"42,720",7.16,"1,302.0",5.98,"37,405",7.70,"1,140.0",6.51,"5,315",3.53,162.0,2.40,"2,277",-1.34,69.4,-2.39,854,7.83,26.0,6.56,"32,398",3.01,987.5,1.89,"23,509",3.83,716.5,2.69,"2,528",-9.46,77.0,-10.57,"1,441",1.69,43.9,0.46,"4,217",30.15,128.5,28.76,"73,015",41.30,"2,225.4",39.75,"44,704",38.31,"1,362.5",36.80,"28,311",46.30,862.9,44.71,"332,305",18.89,"10,128.2",17.58,"194,258",27.59,"5,920.7",26.19,"39,192",14.96,"1,194.5",13.70,"32,252",12.67,983.0,11.44,"25,831",-10.10,787.3,-11.08,"1,931",25.80,58.8,24.31,"21,638",13.53,659.5,12.29,"53,920",29.95,"1,643.4",28.52,"50,348",31.21,"1,534.5",29.77,268,-4.63,8.2,-4.65,"5,221",4.61,159.1,3.45,"15,009",17.09,457.4,15.80,"3,408",7.98,103.9,6.78
2006M10,"654,925",4.82,"19,840.2",5.58,"3,478",-7.94,105.4,-7.22,"2,785",-14.39,84.4,-13.70,723,25.09,21.9,25.86,"1,487",-3.57,45.0,-3.02,"29,787",-15.77,902.4,-15.16,"27,106",-4.80,821.1,-4.11,"44,201",2.84,"1,339.0",3.59,"38,808",3.76,"1,175.6",4.51,"5,393",-3.30,163.4,-2.56,"2,639",-9.44,79.9,-8.79,822,-6.70,24.9,-6.04,"32,759",-4.72,992.4,-4.02,"23,870",-5.06,723.1,-4.36,"2,385",-9.28,72.2,-8.72,"1,365",-8.45,41.4,-7.80,"4,333",6.65,131.3,7.45,"77,394",32.23,"2,344.6",33.19,"49,125",37.03,"1,488.2",38.03,"28,269",24.64,856.4,25.55,"334,363",6.03,"10,129.1",6.80,"190,527",9.34,"5,771.8",10.13,"40,135",2.85,"1,215.8",3.60,"34,233",12.03,"1,037.0",12.84,"28,593",-13.53,866.2,-12.90,"1,888",15.05,57.2,15.79,"20,121",-6.30,609.6,-5.61,"53,675",0.72,"1,626.0",1.45,"50,013",0.38,"1,515.1",1.11,288,12.06,8.7,12.99,"5,228",-5.70,158.4,-4.98,"15,445",8.71,467.9,9.50,"3,646",-3.93,110.5,-3.16
2006M11,"644,230",6.20,"19,539.9",8.20,"3,862",0.99,117.1,2.90,"3,511",5.66,106.5,7.68,692,7.96,21.0,9.95,"1,450",-6.93,44.0,-5.17,"28,528",-9.23,865.3,-7.51,"34,112",15.85,"1,034.6",18.02,"45,806",12.06,"1,389.3",14.17,"40,837",13.41,"1,238.6",15.54,"4,969",2.05,150.7,4.00,"2,689",-2.92,81.5,-1.21,860,-1.60,26.1,0.38,"31,198",-2.65,946.3,-0.81,"23,146",-0.15,702.0,1.72,"1,916",-27.31,58.1,-25.99,"1,378",-5.94,41.8,-4.13,"3,913",4.51,118.7,6.46,"72,219",28.50,"2,190.4",30.92,"44,123",26.76,"1,338.3",29.14,"28,096",31.33,852.2,33.80,"323,101",5.05,"9,799.9",7.03,"182,754",9.69,"5,543.1",11.76,"38,602",2.64,"1,170.8",4.57,"30,810",8.31,934.5,10.34,"28,048",-24.26,850.7,-22.83,"1,990",22.16,60.4,24.54,"19,423",-13.44,589.1,-11.81,"54,530",4.86,"1,653.9",6.83,"51,021",5.40,"1,547.5",7.38,294,-9.26,8.9,-7.29,"5,414",-1.20,164.2,0.67,"15,055",5.78,456.6,7.76,"3,718",-2.26,112.8,-0.35
2006M12,"637,787",6.47,"19,606.1",9.25,"3,067",-64.81,94.3,-63.88,"2,615",-67.40,80.4,-66.54,647,-16.84,19.9,-14.59,"1,513",-4.72,46.5,-2.31,"29,778",6.92,915.4,9.72,"32,596",7.32,"1,002.0",10.12,"46,282",8.05,"1,422.7",10.87,"40,966",8.60,"1,259.3",11.44,"5,316",3.99,163.4,6.66,"2,546",3.12,78.3,5.81,758,-4.53,23.3,-2.10,"31,435",-0.08,966.3,2.53,"23,324",2.05,717.0,4.72,"2,113",-19.60,64.9,-17.53,"1,349",-4.87,41.5,-2.35,"3,773",14.26,116.0,17.29,"71,901",34.91,"2,210.3",38.44,"44,497",38.38,"1,367.9",42.00,"27,404",29.64,842.4,33.02,"320,526",5.17,"9,853.2",7.91,"181,683",8.87,"5,585.1",11.72,"40,297",4.26,"1,238.8",6.99,"29,697",-2.05,912.9,0.52,"26,435",-17.44,812.6,-15.29,"1,756",2.63,54.0,5.26,"20,357",8.58,625.8,11.43,"50,610",-2.03,"1,555.8",0.53,"46,624",-2.76,"1,433.3",-0.22,406,30.97,12.5,34.41,"5,150",3.00,158.3,5.67,"15,500",11.04,476.5,13.94,"3,598",-1.99,110.6,0.55
2007M01,"645,315",18.42,"19,788.9",17.55,"3,382",-6.47,103.7,-7.16,"2,886",-6.27,88.5,-6.94,948,42.56,29.1,41.26,"1,611",28.78,49.4,27.98,"40,759",47.49,"1,249.9",46.41,"35,631",43.53,"1,092.6",42.47,"48,437",30.81,"1,485.4",29.85,"42,656",32.40,"1,308.1",31.43,"5,781",20.16,177.3,19.31,"2,258",26.15,69.3,25.32,746,4.48,22.9,4.09,"30,034",8.36,921.0,7.57,"21,831",10.49,669.5,9.68,"2,166",-10.50,66.4,-11.23,"1,433",6.78,43.9,5.78,"3,605",17.24,110.5,16.32,"79,661",48.91,"2,442.9",47.82,"50,391",53.73,"1,545.3",52.59,"29,270",41.29,897.6,40.25,"303,669",9.26,"9,312.2",8.45,"172,925",15.85,"5,302.8",15.00,"41,527",18.87,"1,273.4",17.99,"27,957",-11.11,857.3,-11.76,"21,358",-18.76,654.9,-19.37,"1,669",5.43,51.2,4.70,"21,959",17.80,673.4,16.93,"49,902",7.00,"1,530.3",6.21,"46,415",6.61,"1,423.3",5.82,251,0.00,7.7,0.00,"5,339",10.95,163.7,10.09,"15,939",15.79,488.8,14.93,"3,953",2.65,121.2,1.85
2007M02,"488,720",-1.42,"14,900.1",-3.64,"2,830",-10.04,86.3,-12.03,"2,373",-14.30,72.3,-16.32,551,-2.82,16.8,-5.08,"1,171",0.34,35.7,-1.92,"25,913",14.58,790.0,11.99,"24,854",-15.02,757.7,-16.95,"34,929",-3.81,"1,064.9",-5.98,"30,430",-3.89,927.7,-6.06,"4,499",-3.27,137.2,-5.44,"1,611",-5.46,49.1,-7.53,566,-2.75,17.3,-4.95,"22,856",-10.80,696.8,-12.81,"16,373",-12.45,499.2,-14.42,"1,953",4.61,59.6,2.41,"1,036",-3.54,31.6,-5.67,"2,605",-15.80,79.4,-17.72,"58,750",22.26,"1,791.2",19.50,"38,747",29.20,"1,181.3",26.27,"20,003",10.74,609.8,8.24,"236,919",-1.00,"7,223.2",-3.23,"131,604",-1.74,"4,012.3",-3.96,"30,243",2.99,922.1,0.68,"21,615",-16.83,659.0,-18.71,"20,011",-10.82,610.1,-12.83,"1,301",-3.06,39.7,-5.25,"18,976",2.48,578.5,0.16,"37,820",-24.11,"1,153.0",-25.82,"34,963",-25.88,"1,065.9",-27.56,220,35.80,6.7,31.37,"4,058",17.62,123.7,14.96,"13,276",15.81,404.8,13.20,"3,157",17.01,96.2,14.25
2007M03,"650,385",12.33,"19,756.6",10.42,"3,151",0.74,95.7,-1.03,"2,686",5.09,81.6,3.29,962,8.09,29.2,6.18,"1,507",-2.77,45.8,-4.38,"25,390",35.00,771.3,32.71,"38,006",31.57,"1,154.5",29.33,"51,425",22.48,"1,562.1",20.39,"45,376",24.36,"1,378.3",22.23,"6,049",10.00,183.8,8.18,"2,988",2.93,90.8,1.23,706,-8.55,21.5,-10.04,"34,006",3.45,"1,033.0",1.68,"25,356",2.72,770.2,0.97,"1,902",-7.98,57.8,-9.55,"1,344",-10.70,40.8,-12.26,"3,915",11.03,118.9,9.08,"77,917",34.28,"2,366.9",32.00,"50,361",44.30,"1,529.8",41.85,"27,556",19.17,837.1,17.14,"322,250",9.56,"9,788.9",7.70,"183,803",11.71,"5,583.3",9.81,"39,500",3.15,"1,199.9",1.39,"34,886",23.16,"1,059.7",21.07,"23,412",-17.46,711.2,-18.87,"1,819",5.27,55.3,3.56,"21,171",10.16,643.1,8.28,"44,901",-12.06,"1,363.9",-13.56,"41,619",-12.74,"1,264.2",-14.23,315,5.70,9.6,4.35,"4,848",1.70,147.3,0.00,"15,898",6.28,482.9,4.46,"3,528",-4.52,107.2,-6.13
2007M04,"654,769",7.26,"19,823.5",5.47,"2,864",-7.52,86.7,-9.12,"2,305",-5.14,69.8,-6.68,930,-4.32,28.2,-5.69,"1,939",21.72,58.7,19.55,"29,910",0.80,905.6,-0.88,"37,390",24.14,"1,132.0",22.07,"51,583",16.81,"1,561.7",14.86,"45,566",18.35,"1,379.5",16.37,"6,017",6.33,182.2,4.59,"3,157",-0.41,95.6,-2.05,782,-3.22,23.7,-4.82,"34,283",-1.36,"1,037.9",-3.01,"26,361",0.13,798.1,-1.53,"1,741",-11.17,52.7,-12.60,"1,244",-16.00,37.7,-17.32,"4,003",10.76,121.2,8.89,"78,305",29.36,"2,370.7",27.20,"50,638",37.35,"1,533.1",35.06,"27,667",16.92,837.6,14.96,"314,637",4.12,"9,525.8",2.39,"174,394",3.74,"5,279.9",2.02,"43,267",9.85,"1,309.9",8.02,"35,826",15.03,"1,084.7",13.12,"25,141",-7.46,761.1,-9.00,"1,756",0.86,53.2,-0.75,"21,913",-1.07,663.4,-2.73,"49,416",-5.63,"1,496.1",-7.20,"45,743",-6.31,"1,384.9",-7.87,286,11.72,8.7,10.13,"4,841",-3.93,146.5,-5.54,"17,572",19.26,532.0,17.28,"3,662",5.96,110.9,4.23
2007M05,"650,648",8.48,"19,580.2",3.48,"3,472",3.00,104.5,-1.79,"2,953",4.94,88.9,0.11,"1,057",0.38,31.8,-4.22,"1,813",10.89,54.6,5.81,"27,669",-11.31,832.6,-15.40,"40,215",23.17,"1,210.2",17.51,"55,451",21.75,"1,668.7",16.14,"48,540",22.56,"1,460.7",16.91,"6,911",16.31,208.0,10.99,"3,497",12.62,105.2,7.46,833,0.60,25.1,-3.83,"35,942",1.76,"1,081.6",-2.93,"27,509",2.75,827.8,-1.98,"1,801",-10.40,54.2,-14.51,"1,310",-5.76,39.4,-10.25,"3,903",7.52,117.5,2.62,"82,136",26.63,"2,471.8",20.80,"52,241",32.75,"1,572.1",26.63,"29,895",17.19,899.7,11.81,"303,198",5.30,"9,124.2",0.45,"163,392",2.46,"4,917.0",-2.26,"44,991",9.47,"1,353.9",4.43,"37,427",43.80,"1,126.3",37.17,"23,476",-11.13,706.5,-15.22,"1,818",-0.16,54.7,-4.70,"21,013",4.15,632.4,-0.64,"47,062",-0.28,"1,416.3",-4.87,"43,279",-1.37,"1,302.4",-5.91,286,5.54,8.6,0.00,"5,041",6.85,151.7,1.95,"17,035",12.19,512.7,7.04,"3,927",8.33,118.2,3.41
2007M06,"664,188",14.10,"20,078.3",10.96,"3,926",6.08,118.7,3.22,"3,180",1.40,96.1,-1.44,"1,114",32.15,33.7,28.63,"1,738",11.70,52.5,8.47,"45,706",10.08,"1,381.7",7.05,"38,089",26.01,"1,151.4",22.54,"52,541",27.24,"1,588.3",23.74,"46,203",28.58,"1,396.7",25.04,"6,338",18.25,191.6,15.01,"2,783",2.13,84.1,-0.71,845,5.10,25.6,2.40,"33,365",0.29,"1,008.6",-2.47,"24,960",0.93,754.5,-1.85,"2,049",-5.62,61.9,-8.30,"1,273",-1.62,38.5,-4.23,"4,070",10.84,123.0,7.80,"80,059",33.10,"2,420.2",29.44,"51,367",44.05,"1,552.8",40.08,"28,692",17.17,867.3,13.94,"312,197",10.31,"9,437.6",7.27,"172,746",9.21,"5,222.1",6.21,"40,950",8.28,"1,237.9",5.30,"40,504",52.87,"1,224.4",48.66,"22,804",-15.66,689.4,-17.98,"1,871",15.35,56.6,12.30,"19,775",13.12,597.8,10.01,"47,005",14.22,"1,421.0",11.09,"43,337",13.82,"1,310.1",10.69,211,-21.85,6.4,-23.81,"4,578",7.19,138.4,4.22,"15,124",-0.01,457.2,-2.74,"3,626",10.92,109.6,7.87
2007M07,"693,548",8.91,"21,183.5",8.21,"4,084",-3.43,124.7,-4.08,"3,487",-1.94,106.5,-2.56,"1,147",16.80,35.0,15.89,"1,919",22.39,58.6,21.58,"32,014",-16.84,977.8,-17.37,"39,317",21.06,"1,200.9",20.28,"54,641",22.28,"1,668.9",21.49,"48,105",23.63,"1,469.3",22.84,"6,536",13.16,199.6,12.39,"2,667",3.90,81.5,3.30,796,-10.46,24.3,-10.99,"33,366",-0.42,"1,019.1",-1.06,"24,145",-0.19,737.5,-0.83,"2,328",-13.30,71.1,-13.82,"1,312",-8.95,40.1,-9.48,"4,188",-3.17,127.9,-3.83,"77,988",12.70,"2,382.0",11.98,"48,496",14.27,"1,481.2",13.54,"29,492",10.22,900.8,9.52,"338,429",8.04,"10,336.9",7.35,"185,322",3.36,"5,660.4",2.70,"46,755",11.29,"1,428.1",10.58,"43,427",64.49,"1,326.4",63.43,"27,139",-2.76,828.9,-3.38,"1,955",13.73,59.7,12.85,"23,993",4.45,732.8,3.78,"55,746",21.37,"1,702.7",20.60,"51,407",21.95,"1,570.2",21.17,320,25.49,9.8,25.64,"5,252",9.05,160.4,8.38,"16,687",7.77,509.7,7.08,"3,744",5.55,114.3,4.86
2007M08,"700,632",10.40,"21,321.8",10.06,"3,871",-18.52,117.8,-18.76,"3,226",-21.49,98.2,-21.69,671,-19.35,20.4,-19.69,"1,571",2.08,47.8,1.70,"49,499",67.50,"1,506.3",66.98,"42,399",39.95,"1,290.3",39.54,"53,654",14.72,"1,632.8",14.37,"47,482",15.47,"1,445.0",15.12,"6,172",9.28,187.8,8.93,"2,237",-8.51,68.1,-8.71,747,-15.21,22.7,-15.61,"30,171",-5.69,918.2,-5.98,"21,646",-3.13,658.7,-3.43,"2,152",-13.75,65.5,-14.04,"1,322",-4.48,40.2,-4.96,"4,204",0.77,127.9,0.39,"73,755",2.87,"2,244.5",2.55,"44,787",-0.14,"1,363.0",-0.45,"28,967",7.89,881.5,7.57,"335,202",5.19,"10,200.9",4.87,"191,286",6.28,"5,821.3",5.96,"43,976",3.69,"1,338.3",3.38,"42,991",39.22,"1,308.3",38.80,"22,677",-14.58,690.1,-14.83,"1,884",1.29,57.3,0.88,"21,919",15.53,667.0,15.16,"58,828",18.35,"1,790.3",17.99,"54,517",18.61,"1,659.1",18.25,322,-11.29,9.8,-11.71,"5,240",7.62,159.4,7.27,"15,342",-4.83,466.9,-5.12,"3,571",6.47,108.7,6.15
2007M09,"732,460",11.17,"22,209.2",10.60,"3,370",-28.04,102.2,-28.38,"2,766",-30.68,83.9,-31.00,860,23.92,26.1,23.11,"1,741",22.18,52.8,21.66,"40,222",19.66,"1,219.6",19.04,"47,026",40.64,"1,425.9",39.92,"54,088",26.61,"1,640.0",25.96,"47,974",28.26,"1,454.6",27.60,"6,114",15.03,185.4,14.44,"2,604",14.36,79.0,13.83,718,-15.93,21.8,-16.15,"31,722",-2.09,961.8,-2.60,"22,965",-2.31,696.3,-2.82,"1,990",-21.28,60.3,-21.69,"1,310",-9.09,39.7,-9.57,"4,281",1.52,129.8,1.01,"74,497",2.03,"2,258.9",1.51,"44,826",0.27,"1,359.2",-0.24,"29,672",4.81,899.7,4.26,"356,827",7.38,"10,819.5",6.83,"204,521",5.28,"6,201.4",4.74,"44,129",12.60,"1,338.0",12.01,"46,060",42.81,"1,396.6",42.08,"26,962",4.38,817.5,3.84,"1,965",1.76,59.6,1.36,"24,551",13.46,744.4,12.87,"66,489",23.31,"2,016.1",22.68,"62,744",24.62,"1,902.5",23.98,290,8.21,8.8,7.32,"5,049",-3.29,153.1,-3.77,"17,105",13.96,518.6,13.38,"3,648",7.04,110.6,6.45
2007M10,"741,391",13.20,"22,686.4",14.35,"3,958",13.80,121.1,14.90,"3,386",21.58,103.6,22.75,767,6.09,23.5,7.31,"1,766",18.76,54.1,20.22,"44,606",49.75,"1,364.9",51.25,"45,442",67.65,"1,390.5",69.35,"55,850",26.35,"1,709.0",27.63,"49,635",27.90,"1,518.8",29.19,"6,215",15.24,190.2,16.40,"2,829",7.20,86.6,8.39,876,6.57,26.8,7.63,"32,673",-0.26,999.8,0.75,"23,953",0.35,733.0,1.37,"2,017",-15.43,61.7,-14.54,"1,264",-7.40,38.7,-6.52,"4,160",-3.99,127.3,-3.05,"77,071",-0.42,"2,358.3",0.58,"46,541",-5.26,"1,424.1",-4.31,"30,530",8.00,934.2,9.08,"360,273",7.75,"11,024.3",8.84,"196,834",3.31,"6,023.1",4.35,"42,531",5.97,"1,301.4",7.04,"51,786",51.28,"1,584.6",52.81,"33,366",16.69,"1,021.0",17.87,"1,787",-5.35,54.7,-4.37,"21,596",7.33,660.8,8.40,"64,476",20.12,"1,973.0",21.34,"60,472",20.91,"1,850.4",22.13,309,7.29,9.4,8.05,"5,613",7.36,171.8,8.46,"18,172",17.66,556.1,18.85,"3,904",7.08,119.5,8.14
2007M11,"707,338",9.80,"21,871.9",11.93,"3,505",-9.24,108.4,-7.43,"2,930",-16.55,90.6,-14.93,679,-1.88,21.0,0.00,"1,687",16.34,52.2,18.64,"42,526",49.07,"1,315.0",51.97,"46,091",35.12,"1,425.2",37.75,"53,353",16.48,"1,649.8",18.75,"47,546",16.43,"1,470.2",18.70,"5,807",16.86,179.6,19.18,"2,805",4.31,86.7,6.38,749,-12.91,23.2,-11.11,"30,712",-1.56,949.7,0.36,"22,856",-1.25,706.7,0.67,"1,512",-21.09,46.7,-19.62,"1,139",-17.34,35.2,-15.79,"3,893",-0.51,120.4,1.43,"69,152",-4.25,"2,138.3",-2.38,"40,733",-7.68,"1,259.5",-5.89,"28,419",1.15,878.8,3.12,"341,085",5.57,"10,546.9",7.62,"187,511",2.60,"5,798.1",4.60,"42,388",9.81,"1,310.7",11.95,"46,318",50.33,"1,432.2",53.26,"34,095",21.56,"1,054.3",23.93,"1,781",-10.50,55.1,-8.77,"21,973",13.13,679.4,15.33,"63,640",16.71,"1,967.9",18.99,"59,754",17.12,"1,847.7",19.40,280,-4.76,8.7,-2.25,"5,306",-1.99,164.1,-0.06,"19,043",26.49,588.8,28.95,"3,711",-0.19,114.7,1.68
2007M12,"758,540",18.93,"23,476.9",19.74,"5,079",65.60,157.2,66.70,"4,559",74.34,141.1,75.50,783,21.02,24.2,21.61,"2,053",35.69,63.6,36.77,"58,964",98.01,"1,824.9",99.36,"52,834",62.09,"1,635.2",63.19,"54,724",18.24,"1,693.7",19.05,"48,049",17.29,"1,487.1",18.09,"6,675",25.56,206.6,26.44,"2,715",6.64,84.0,7.28,901,18.87,27.9,19.74,"32,153",2.28,995.1,2.98,"23,551",0.97,728.9,1.66,"1,804",-14.62,55.8,-14.02,"1,395",3.41,43.2,4.10,"4,587",21.57,142.0,22.41,"80,989",12.64,"2,506.6",13.41,"51,225",15.12,"1,585.4",15.90,"29,764",8.61,921.2,9.35,"345,444",7.77,"10,691.5",8.51,"185,127",1.90,"5,729.7",2.59,"49,276",22.28,"1,525.1",23.11,"44,075",48.42,"1,364.1",49.42,"32,540",23.09,"1,007.1",23.94,"2,066",17.65,63.9,18.33,"24,421",19.96,755.8,20.77,"67,384",33.14,"2,085.6",34.05,"63,255",35.67,"1,957.8",36.59,250,-38.42,7.7,-38.40,"5,571",8.17,172.4,8.91,"18,542",19.63,573.9,20.44,"4,015",11.59,124.3,12.39
2008M01,"716,246",10.99,"22,133.7",11.85,"4,378",29.45,135.3,30.47,"3,800",31.67,117.4,32.66,843,-11.08,26.1,-10.31,"1,921",19.24,59.4,20.24,"48,265",18.42,"1,491.5",19.33,"47,036",32.01,"1,453.5",33.03,"54,436",12.39,"1,682.2",13.25,"48,268",13.16,"1,491.6",14.03,"6,168",6.69,190.6,7.50,"2,074",-8.15,64.1,-7.50,689,-7.64,21.3,-6.99,"28,204",-6.09,871.6,-5.36,"20,267",-7.16,626.3,-6.45,"1,992",-8.03,61.6,-7.23,"1,217",-15.07,37.6,-14.35,"4,405",22.19,136.1,23.17,"78,706",-1.20,"2,432.2",-0.44,"48,790",-3.18,"1,507.7",-2.43,"29,916",2.21,924.5,3.00,"319,545",5.23,"9,874.7",6.04,"175,482",1.48,"5,422.8",2.26,"44,012",5.98,"1,360.1",6.81,"43,458",55.45,"1,342.9",56.64,"25,729",20.47,795.1,21.41,"1,837",10.07,56.8,10.94,"27,907",27.09,862.4,28.07,"68,199",36.67,"2,107.5",37.72,"64,324",38.58,"1,987.8",39.66,296,17.93,9.2,19.48,"5,100",-4.48,157.6,-3.73,"23,321",46.31,720.7,47.44,"3,902",-1.29,120.6,-0.50
