期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2011M09,"228,246",2.98,"2,395",0.94,739,37.22,9.84,-,"32,634,903",0.13,"4,704,805",1.38,"1,330",-0.51,"132,479",7.54,"1,541",5.52,"91,660",3.20,"12,167,050",-0.89
2011M10,"219,552",-2.57,"2,122",0.66,595,18.32,9.46,-,"32,656,262",0.27,"4,712,185",1.59,"1,220",-3.17,"122,048",-3.14,"1,410",0.74,"88,222",-0.43,"14,011,197",-0.99
2011M11,"228,618",-5.05,"2,322",-0.23,621,15.16,9.85,-,"32,686,198",0.91,"4,711,658",1.96,"1,311",-1.72,"132,764",-3.29,"1,544",1.66,"90,757",-0.28,"15,606,526",-1.74
2011M12,"255,600",6.69,"2,675",1.98,667,-3.64,11.01,-,"32,701,882",0.98,"4,716,689",1.98,"1,569",1.57,"137,564",-9.73,"1,748",3.35,"99,141",-5.83,"10,760,887",-6.48
2012M01,"223,525",-6.56,"2,394",-15.67,614,-11.08,9.62,-,"32,747,842",1.05,"4,866,261",3.07,"1,420",-19.44,"127,612",-17.99,"1,784",-7.66,"117,774",-11.99,"11,761,961",-4.34
2012M02,"227,469",21.70,"2,128",33.50,617,32.64,9.79,-,"32,841,273",1.13,"4,864,984",2.88,"1,188",26.13,"132,979",17.93,"1,351",22.93,"82,259",30.24,"11,758,823",-4.69
2012M03,"240,729",-4.17,"2,278",-3.28,677,3.63,10.36,-,"32,884,876",1.20,"4,871,508",3.07,"1,363",-2.18,"142,925",-7.57,"1,569",2.85,"99,017",-4.01,"15,028,784",-5.53
2012M04,"213,551",-4.75,"2,085",5.07,607,-5.99,9.19,-,"32,906,450",1.24,"4,882,589",3.57,"1,216",2.45,"122,101",5.79,"1,522",10.52,"88,690",5.70,"11,685,529",-0.46
2012M05,"246,012",0.88,"2,246",3.81,662,-2.11,10.58,-,"32,931,129",1.28,"4,871,434",3.37,"1,332",-1.88,"140,719",4.05,"1,617",6.92,"95,899",5.04,"14,767,117",-0.35
2012M06,"214,523",-5.25,"2,175",-0.97,626,-1.39,9.22,-,"32,941,024",1.31,"4,879,965",3.94,"1,320",-1.15,"124,304",0.81,"1,594",7.01,"91,317",2.22,"15,195,484",-2.82
2012M07,"230,463",-3.37,"2,292",6.84,624,2.27,9.91,-,"32,988,027",1.35,"4,941,762",4.32,"1,377",3.37,"141,777",9.39,"1,672",13.56,"103,983",8.91,"14,821,356",-1.13
2012M08,"231,323",-2.89,"2,337",-3.54,629,-6.51,9.94,-,"33,052,491",1.40,"4,951,075",5.01,"1,304",-8.21,"128,707",-10.31,"1,633",6.93,"96,674",0.36,"11,534,098",-5.70
2012M09,"216,940",-4.95,"2,456",2.56,628,-14.94,9.32,-,"33,127,372",1.51,"4,961,318",5.45,"1,294",-2.68,"121,572",-8.23,"1,511",-1.95,"88,640",-3.29,"11,602,186",-4.64
2012M10,"224,071",2.06,"2,458",15.85,656,10.34,9.62,-,"33,206,598",1.69,"4,962,200",5.31,"1,336",9.51,"140,777",15.34,"1,614",14.48,"98,228",11.34,"13,716,024",-2.11
2012M11,"209,842",-8.21,"2,429",4.61,650,4.58,9.01,-,"33,275,432",1.80,"4,973,108",5.55,"1,312",0.08,"137,479",3.55,"1,602",3.75,"97,122",7.01,"15,400,934",-1.32
2012M12,"227,959",-10.81,"2,667",-0.30,663,-0.64,9.78,-,"33,328,431",1.92,"4,995,976",5.92,"1,416",-9.77,"137,669",0.08,"1,704",-2.49,"104,928",5.84,"10,709,872",-0.47
2013M01,"238,273",6.60,"2,982",24.56,708,15.39,10.22,-,"33,406,867",2.01,"5,087,399",4.54,"1,684",18.62,"166,124",30.18,"1,870",4.81,"129,265",9.76,"11,810,028",0.41
2013M02,"198,345",-12.80,"1,830",-13.98,566,-8.37,8.50,-,"33,498,826",2.00,"5,125,535",5.36,"1,070",-9.93,"114,065",-14.22,"1,394",3.23,"89,830",9.20,"11,944,594",1.58
2013M03,"232,360",-3.48,"2,354",3.30,632,-6.62,9.96,-,"33,589,213",2.14,"5,130,088",5.31,"1,315",-3.49,"143,498",0.40,"1,515",-3.49,"96,654",-2.39,...,...
2013M04,"232,157",8.71,"2,010",-3.59,609,0.35,9.95,-,"33,637,037",2.22,"5,134,260",5.15,"1,240",2.00,"135,592",11.05,"1,528",0.41,"99,931",12.67,...,...
2013M05,"237,164",-3.60,"2,015",-10.28,652,-1.46,10.16,-,"33,684,546",2.29,"5,129,203",5.29,"1,338",0.46,"145,551",3.43,"1,601",-0.98,"107,286",11.87,...,...
2013M06,"206,662",-3.66,"1,894",-12.90,596,-4.81,8.85,-,"33,712,443",2.34,"5,143,306",5.40,"1,261",-4.46,"124,403",0.08,"1,503",-5.67,"96,676",5.87,...,...
2013M07,"244,337",6.02,"2,079",-9.30,612,-1.96,10.47,-,"33,778,304",2.40,"5,187,639",4.98,"1,399",1.63,"153,077",7.97,"1,626",-2.73,"115,976",11.53,...,...
2013M08,"228,137",-1.38,"1,946",-16.72,610,-3.11,9.77,-,"33,853,400",2.42,"5,183,694",4.70,"1,275",-2.27,"131,330",2.04,"1,498",-8.24,"98,367",1.75,...,...
2013M09,"218,069",0.52,"2,175",-11.45,612,-2.55,9.34,-,"33,904,154",2.34,"5,199,035",4.79,"1,309",1.17,"126,034",3.67,"1,492",-1.27,"99,482",12.23,...,...
2013M10,"219,716",-1.94,"2,022",-17.74,623,-5.05,9.41,-,"33,937,800",2.20,"5,198,701",4.77,"1,316",-1.55,"141,405",0.45,"1,527",-5.39,"102,061",3.90,...,...
2013M11,"214,452",2.20,"1,915",-21.15,610,-6.09,9.18,-,"33,976,187",2.11,"5,208,671",4.74,"1,270",-3.20,"130,143",-5.34,"1,554",-3.00,"103,237",6.30,...,...
2013M12,"230,306",1.03,"2,377",-10.88,708,6.83,9.85,-,"33,994,009",2.00,"5,210,943",4.30,"1,551",9.53,"154,818",12.46,"1,778",4.34,"116,550",11.08,...,...
2014M01,"228,317",-4.18,"2,341",-21.50,699,-1.33,9.77,-,"34,041,338",1.90,"5,334,297",4.85,"1,652",-1.92,"152,824",-8.01,"2,053",9.81,"149,590",15.72,...,...
2014M02,"188,401",-5.01,"1,555",-15.03,589,4.11,8.06,-,"34,140,740",1.92,"5,358,043",4.54,"1,063",-0.67,"120,201",5.38,"1,262",-9.50,"79,107",-11.94,...,...
2014M03,"225,978",-2.75,"1,825",-22.45,644,1.87,9.67,-,"34,193,736",1.80,"5,361,632",4.51,"1,350",2.66,"143,312",-0.13,"1,555",2.70,"102,767",6.32,...,...
2014M04,"235,897",1.61,"1,798",-10.53,634,4.11,10.09,-,"34,232,906",1.77,"5,367,175",4.54,"1,310",5.65,"140,179",3.38,"1,605",4.99,"105,128",5.20,...,...
2014M05,"237,568",0.17,"1,823",-9.53,664,1.82,10.16,-,"34,271,437",1.74,"5,372,863",4.75,"1,394",4.23,"138,951",-4.53,"1,671",4.36,"106,595",-0.64,...,...
2014M06,"215,122",4.09,"1,888",-0.32,678,13.78,9.20,-,"34,304,651",1.76,"5,379,205",4.59,"1,352",7.24,"131,511",5.71,"1,609",7.05,"103,953",7.53,...,...
2014M07,"230,314",-5.74,"1,904",-8.41,707,15.64,9.84,-,"34,355,622",1.71,"5,441,178",4.89,"1,448",3.48,"152,475",-0.39,"1,719",5.74,"129,293",11.48,...,...
