期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
2008M10,"745,293",0.04,"3,843",3.11,"2,000",-1.86,"41,687",-1.10,157,-5.99,"2,700",10.66,"55,582",3.13,"455,988",-0.49,"29,910",0.20,"46,122",0.99,"5,521",-0.70,"2,596",-0.73,"2,367",1.72,"13,597",0.52,"19,745",2.05,-,-,164,-4.09,4,-20.00,"14,364",1.07,"48,946",-0.25,...,...,"139,349",1.57,"2,549",-0.66,"1,271",3.46,"9,974",0.51,49,-1.01,"1,206",5.01,"27,804",4.35,"63,363",1.10,"6,665",0.53,"6,926",0.45,"1,762",2.42,"4,502",-2.50,650,0.65,"2,756",2.20,"4,914",2.67,-,-,34,-4.80,2,-10.78,"1,555",-2.03,"3,369",0.72,...,...,"3,198",-5.19,24,60.00,6,200.00,48,17.07,-,-,31,10.71,325,-6.61,"1,738",-3.23,8,0.00,482,-12.20,26,-39.53,3,0.00,12,-55.56,87,-25.00,125,-10.07,-,-,1,-50.00,-,-,59,59.46,223,1.83,...,...,551,-17.92,9,85.40,1,48.86,18,85.59,-,-,4,-6.36,102,-24.00,286,-13.75,1,-82.96,56,-30.04,9,27.48,1,-35.06,1,-87.81,14,-33.39,19,-32.67,-,-,0,-80.00,-,-,7,25.28,23,-12.31,...,...,"2,857",1.06,8,-27.27,9,800.00,53,-22.06,-,-,15,25.00,242,7.56,"1,644",1.36,38,-15.56,385,-3.02,37,-15.91,6,-45.45,14,-17.65,63,12.50,95,20.25,9,50.00,-,-,-,-,75,19.05,164,-2.96,...,...,599,3.55,5,-3.24,4,763.54,14,13.65,-,-,3,48.53,65,-36.72,345,21.50,31,53.09,53,-28.92,7,-54.64,6,116.40,3,-21.26,16,4.48,23,72.87,1,-41.44,-,-,-,-,5,-38.34,17,7.38,...,...
2008M11,"745,322",0.02,"3,859",3.40,"1,999",-2.01,"41,673",-1.01,155,-7.19,"2,729",10.58,"55,717",2.99,"455,666",-0.53,"29,919",0.24,"46,248",1.13,"5,530",-0.43,"2,587",-1.03,"2,365",1.28,"13,628",0.53,"19,781",1.98,-,-,165,-4.07,4,-20.00,"14,316",1.01,"48,981",-0.22,...,...,"139,499",1.39,"2,555",-0.70,"1,272",4.25,"9,961",0.55,49,0.04,"1,210",5.12,"27,881",4.04,"63,412",0.95,"6,663",0.59,"6,912",-0.46,"1,768",1.97,"4,496",-2.72,651,0.56,"2,774",2.36,"4,924",2.33,-,-,34,-4.79,2,-10.78,"1,557",-1.93,"3,379",0.89,...,...,"2,827",-17.32,24,71.43,6,-33.33,44,12.82,-,-,37,19.35,328,-8.38,"1,413",-23.79,11,10.00,447,-15.34,33,-26.67,1,-83.33,18,-33.33,87,-8.42,123,-10.87,-,-,1,0.00,-,-,44,-15.38,210,-0.47,...,...,502,-28.64,6,31.22,2,-44.38,9,6.16,-,-,9,32.08,119,-5.75,214,-39.94,2,-3.05,61,-33.11,4,-70.38,0,-93.38,3,-48.27,14,-0.08,25,-23.51,-,-,0,0.00,-,-,13,73.75,19,-26.72,...,...,"2,673",-4.91,9,12.50,6,0.00,52,-25.71,2,100.00,11,-52.17,182,-4.71,"1,680",0.54,30,-23.08,296,-21.07,26,-52.73,4,-33.33,18,12.50,58,-7.94,84,13.51,6,200.00,-,-,-,-,59,-9.23,150,2.74,...,...,526,-7.93,3,58.70,1,-92.22,25,-14.59,1,460.00,3,-48.46,89,8.04,281,-4.29,6,-65.12,61,6.89,6,-51.64,1,47.45,3,-40.77,12,4.42,16,-0.83,1,224.00,-,-,-,-,7,23.44,12,-48.62,...,...
2008M12,"744,262",-0.12,"3,883",3.71,"1,995",-2.11,"41,585",-1.15,155,-6.06,"2,747",10.54,"55,667",2.65,"454,814",-0.68,"29,850",0.00,"46,346",1.26,"5,508",-0.74,"2,585",-1.07,"2,368",1.63,"13,601",0.38,"19,748",1.70,-,-,165,-2.94,4,-20.00,"14,290",1.16,"48,951",-0.32,...,...,"139,424",1.21,"2,569",0.02,"1,273",3.56,"9,948",0.27,50,5.79,"1,215",4.56,"27,897",3.87,"63,382",0.80,"6,653",0.28,"6,894",-1.01,"1,760",1.43,"4,500",-2.57,625,-3.73,"2,775",2.66,"4,927",2.31,-,-,34,-1.50,2,-10.78,"1,549",-2.36,"3,372",0.78,...,...,"3,354",7.60,29,20.83,7,75.00,57,-3.39,-,-,38,35.71,299,-12.06,"1,780",4.58,9,-10.00,585,24.20,30,-6.25,5,0.00,25,92.31,94,11.90,108,-10.74,-,-,2,...,-,-,81,84.09,205,13.89,...,...,542,-20.85,6,-11.62,3,-45.41,16,-19.23,-,-,7,-6.20,96,-20.82,265,-26.51,11,49.72,66,-5.92,4,-18.15,3,280.00,3,-53.02,15,-15.18,18,-36.72,-,-,0,...,-,-,12,76.77,17,-21.88,...,...,"3,654",27.05,10,-23.08,11,37.50,108,40.26,-,-,15,-6.25,324,55.02,"2,230",26.42,55,41.03,370,8.82,40,8.11,4,...,20,17.65,90,32.35,135,55.17,1,...,2,0.00,-,-,70,-4.11,169,35.20,...,...,731,3.42,7,-42.11,4,145.10,32,12.26,-,-,3,-22.03,131,45.72,373,-11.70,13,-6.11,59,9.25,7,-13.60,1,...,28,662.02,23,92.09,29,-14.53,1,...,0,-75.07,-,-,7,17.20,14,-11.46,...,...
2009M01,"744,282",-0.16,"3,900",-72.59,"1,994",-1.92,"41,522",-0.84,156,-4.88,"2,749",9.57,"55,664",2.85,"454,745",1.39,"29,830",0.05,"46,461",1.89,"5,499",-0.51,"2,588",-0.88,"2,360",0.81,"13,618",0.66,"19,744",1.75,-,-,165,-2.37,4,-20.00,"14,301",1.82,"48,982",-0.05,...,...,"139,497",1.02,"2,577",-32.86,"1,249",2.46,"9,925",0.50,50,6.46,"1,226",5.51,"27,898",4.62,"63,433",1.42,"6,639",3.13,"6,903",-0.09,"1,758",2.60,"4,500",-2.55,627,-4.68,"2,776",2.38,"4,957",4.90,-,-,34,-1.52,2,-10.78,"1,578",-0.27,"3,367",0.46,...,...,"2,349",-28.67,27,-10.00,2,-84.62,26,-50.94,1,...,11,-68.57,215,-42.20,"1,299",-25.47,3,-76.92,372,-20.34,28,-40.43,6,-25.00,10,-68.75,70,-18.60,68,-53.10,-,-,2,0.00,-,-,70,70.73,139,-32.52,...,...,387,-46.43,9,-73.22,3,-51.88,7,-46.03,0,...,2,-70.37,86,-40.62,179,-49.05,1,-83.38,45,-25.25,3,-53.75,1,-63.18,2,-82.87,11,-45.18,19,-30.66,-,-,0,-48.00,-,-,6,16.13,14,-54.68,...,...,"2,304",-20.39,9,-57.14,2,-84.62,80,-2.44,-,-,14,-30.00,249,3.32,"1,359",-20.99,33,-13.16,233,-32.27,29,-42.00,5,-16.67,14,0.00,43,-41.10,69,-10.39,5,-28.57,2,-50.00,-,-,52,10.64,106,-22.06,...,...,494,-25.07,5,-46.72,0,-92.67,34,83.89,-,-,6,-49.67,103,18.72,252,-31.06,3,-88.42,33,-44.58,4,-63.02,0,-84.75,4,44.27,7,-40.56,19,-1.74,1,161.71,0,-44.44,-,-,5,3.01,16,-15.82,...,...
2009M02,"744,267",-0.08,"3,909",3.91,"1,990",-1.92,"41,475",-1.21,155,-5.49,"2,908",15.21,"55,570",1.99,"454,586",-0.63,"29,840",-0.15,"46,502",1.80,"5,492",-0.92,"2,585",-1.11,"2,360",1.03,"13,627",0.57,"19,783",1.56,-,-,166,-1.78,4,-20.00,"14,321",1.83,"48,994",-0.23,...,...,"139,599",1.11,"2,557",-0.02,"1,245",1.71,"9,931",-0.13,49,5.60,"1,266",8.92,"27,953",3.17,"63,454",0.81,"6,635",0.11,"6,908",-0.09,"1,756",1.30,"4,497",-2.65,619,-5.39,"2,786",2.42,"4,960",2.31,-,-,34,-1.23,2,-10.78,"1,576",-0.38,"3,371",0.41,...,...,"2,817",50.24,21,31.25,4,33.33,40,73.91,-,-,18,12.50,323,28.17,"1,503",52.74,16,100.00,388,55.20,30,57.89,4,-20.00,24,200.00,81,30.65,111,48.00,-,-,1,...,-,-,94,135.00,159,39.47,...,...,485,11.93,5,-27.52,1,-89.17,8,40.80,-,-,4,46.29,145,49.74,206,10.49,2,-92.65,47,13.76,6,45.87,1,-43.51,3,159.70,12,11.91,22,37.68,-,-,0,...,-,-,8,18.17,14,-10.49,...,...,"2,785",24.66,10,-33.33,8,-38.46,65,-18.75,-,-,43,38.71,236,6.31,"1,667",32.93,27,-27.03,326,28.35,31,34.78,8,-20.00,23,155.56,69,43.75,83,22.06,-,-,-,-,-,-,52,20.93,137,31.73,...,...,531,-4.62,23,-15.67,5,-76.73,16,-35.67,-,-,15,21.92,97,19.34,253,13.65,5,-90.76,47,-6.54,6,62.80,3,-32.61,11,338.93,10,-11.92,25,36.76,-,-,-,-,-,-,5,2.01,10,0.88,...,...
2009M03,"744,605",-0.10,"3,920",3.81,"1,979",-2.22,"41,418",-1.31,155,-3.73,"2,934",15.56,"55,724",1.77,"454,573",-0.66,"29,836",-0.41,"46,636",2.09,"5,507",-0.72,"2,590",-0.96,"2,364",1.07,"13,630",0.18,"19,814",1.51,-,-,167,-1.76,4,0.00,"14,330",2.36,"49,024",-0.21,...,...,"139,832",1.06,"2,549",-0.76,"1,234",0.80,"9,951",-0.12,49,6.61,"1,275",9.66,"28,051",3.06,"63,505",0.67,"6,639",-0.43,"6,940",0.27,"1,754",0.92,"4,499",-2.53,620,-4.29,"2,793",1.65,"4,974",3.35,-,-,34,-1.22,2,0.00,"1,577",1.27,"3,385",0.72,...,...,"3,483",5.42,22,37.50,3,-50.00,35,-14.63,1,...,32,60.00,419,-0.71,"1,840",4.66,11,22.22,528,20.00,40,8.11,7,0.00,22,-8.33,83,-35.66,135,2.27,-,-,2,100.00,-,-,88,87.23,215,0.00,...,...,592,-6.33,4,-21.19,1,-37.98,10,4.65,0,...,4,26.63,150,3.64,268,-10.18,7,216.31,65,4.20,5,-39.38,3,-30.18,4,-24.52,18,-31.93,23,-11.79,-,-,0,100.00,-,-,8,5.83,22,-20.50,...,...,"2,735",1.64,14,27.27,8,-27.27,62,6.90,1,0.00,8,-27.27,200,4.71,"1,643",1.86,38,31.03,350,4.17,23,-34.29,4,-33.33,14,-26.32,67,24.07,91,4.60,2,0.00,1,...,-,-,59,-27.16,150,2.74,...,...,552,1.15,17,645.78,10,644.38,19,170.27,0,"6,566.67",1,-60.22,77,5.26,305,1.15,7,-77.78,51,9.00,4,-37.03,1,-42.43,4,-70.58,19,99.04,19,-2.94,0,"4,900.00",0,...,-,-,9,-2.77,10,-50.24,...,...
2009M04,"746,036",-0.07,"3,941",4.20,"1,977",-2.47,"41,425",-1.25,155,-4.32,"2,766",7.63,"56,091",2.02,"455,029",-0.60,"29,796",-0.77,"47,122",2.95,"5,504",-0.81,"2,589",-0.99,"2,377",1.45,"13,688",0.61,"19,849",1.36,-,-,173,1.17,3,-25.00,"14,377",-1.28,"49,174",0.16,...,...,"139,808",0.78,"2,549",-0.46,"1,221",-2.06,"9,736",-2.24,49,5.47,"1,213",3.27,"28,179",3.10,"63,614",0.60,"6,620",-1.25,"6,984",1.10,"1,756",1.03,"4,498",-2.54,581,-10.61,"2,806",2.33,"4,983",3.27,-,-,35,0.44,1,-60.42,"1,580",-1.38,"3,403",1.27,...,...,"4,174",1.36,33,73.68,7,40.00,71,33.96,-,-,27,-30.77,384,-1.54,"2,084",9.28,14,180.00,788,50.38,40,17.65,4,-42.86,31,72.22,117,27.17,141,11.02,-,-,-,-,-,-,123,-82.04,310,48.33,...,...,675,3.37,9,256.29,3,210.58,17,28.69,-,-,4,-58.89,130,-1.64,321,6.46,8,419.05,85,38.47,10,70.11,1,-41.90,4,-12.62,20,41.94,23,-0.87,-,-,-,-,-,-,11,-79.75,30,21.37,...,...,"2,764",-0.83,11,-21.43,10,233.33,68,4.62,-,-,17,-19.05,205,6.22,"1,607",-4.57,62,158.33,316,-8.93,39,14.71,3,-72.73,12,-14.29,61,0.00,99,57.14,-,-,3,50.00,-,-,79,14.49,172,-3.37,...,...,593,11.49,5,-58.00,18,"2,228.29",20,8.63,-,-,12,135.26,85,-5.64,308,7.81,20,635.44,52,-13.37,6,-20.31,3,89.40,3,18.95,13,6.00,21,176.02,-,-,0,-4.25,-,-,9,54.37,16,-6.58,...,...
2009M05,"747,347",0.04,"3,969",4.53,"1,976",-2.52,"41,438",-1.19,157,-3.09,"2,775",6.69,"56,246",2.00,"455,528",-0.50,"29,767",-0.90,"47,577",3.73,"5,487",-1.08,"2,574",-1.38,"2,389",1.40,"13,702",0.64,"19,859",1.06,-,-,173,2.37,3,-25.00,"14,413",-1.73,"49,314",0.54,...,...,"140,057",0.76,"2,558",0.27,"1,226",-1.68,"9,756",-2.23,50,7.25,"1,214",3.89,"28,213",2.78,"63,737",0.56,"6,613",-1.29,"7,036",2.01,"1,750",-0.19,"4,494",-1.31,583,-10.39,"2,798",1.48,"4,983",2.58,-,-,35,0.62,1,-60.42,"1,590",-1.39,"3,419",1.67,...,...,"3,348",-2.39,34,25.93,4,-55.56,65,14.04,1,...,19,-50.00,287,-17.77,"1,656",-5.75,9,28.57,689,44.44,31,0.00,2,-50.00,24,-20.00,77,-3.75,103,-32.68,-,-,-,-,-,-,91,-55.39,256,23.67,...,...,485,-16.09,10,153.87,1,-67.30,19,51.83,1,...,3,-28.27,80,-29.90,229,-17.45,1,14.71,76,23.20,5,-23.39,0,-87.49,4,-35.40,11,-31.08,16,-48.09,-,-,-,-,-,-,6,-68.69,23,16.36,...,...,"2,078",-23.35,6,-50.00,4,-20.00,50,-23.08,-,-,7,-70.83,154,-25.60,"1,136",-28.96,17,-45.16,278,-13.40,47,30.56,8,14.29,13,-7.14,66,0.00,95,17.28,-,-,-,-,-,-,68,17.24,129,-27.53,...,...,418,-19.94,4,-71.36,1,-64.87,11,-56.24,-,-,1,-90.26,92,40.20,197,-26.31,5,-38.65,41,-27.00,10,65.25,1,-67.63,2,-56.49,11,-18.07,22,22.31,-,-,-,-,-,-,6,15.79,12,-29.21,...,...
2009M06,"748,711",0.21,"4,002",4.96,"1,970",-2.91,"41,445",-1.03,157,-3.09,"2,785",5.93,"56,340",1.88,"455,943",-0.38,"29,724",-0.94,"48,164",4.93,"5,482",-0.72,"2,493",-4.48,"2,398",1.40,"13,745",1.00,"19,928",0.85,-,-,175,4.17,3,-25.00,"14,474",-0.97,"49,483",0.86,...,...,"140,398",0.81,"2,641",3.64,"1,213",-3.39,"9,772",-2.23,50,7.13,"1,215",3.40,"28,264",2.30,"63,909",0.82,"6,593",-1.61,"7,099",2.77,"1,759",0.31,"4,417",-3.13,587,-11.41,"2,782",1.26,"5,013",2.21,-,-,36,3.00,1,-60.42,"1,612",0.61,"3,435",2.25,...,...,"4,262",22.97,36,63.64,5,0.00,82,100.00,-,-,25,-34.21,332,-7.78,"2,096",10.78,16,300.00,925,92.31,29,-14.71,4,33.33,31,19.23,115,22.34,141,-31.22,-,-,4,...,-,-,98,117.78,323,50.23,...,...,652,6.17,5,26.58,1,-70.09,14,104.61,-,-,3,-63.53,102,-12.46,317,6.09,4,414.68,103,75.08,4,-23.32,3,679.82,9,-46.04,16,-19.20,26,-40.91,-,-,1,...,-,-,15,207.43,28,16.00,...,...,"2,918",3.95,7,0.00,10,900.00,92,10.84,-,-,12,-14.29,290,43.56,"1,650",0.18,31,-29.55,362,-4.49,43,-6.52,4,-33.33,23,35.29,78,21.88,97,5.43,-,-,1,0.00,-,-,56,-5.08,162,12.50,...,...,651,8.15,1,-71.24,14,"46,296.67",29,57.91,-,-,3,-30.95,126,36.41,327,-3.16,11,3.88,54,-8.67,10,0.91,1,-75.82,5,14.87,21,92.51,28,22.19,-,-,0,0.00,-,-,5,-50.40,15,9.98,...,...
2009M07,"750,072",0.45,"4,014",5.13,"1,965",-2.67,"41,476",-0.81,158,-1.86,"2,789",5.25,"56,435",1.93,"456,305",-0.20,"29,695",-0.94,"48,713",5.88,"5,489",-0.87,"2,498",-4.00,"2,418",2.72,"13,805",1.46,"19,959",0.92,-,-,175,4.17,3,-25.00,"14,512",-0.15,"49,663",1.22,...,...,"140,559",1.05,"2,559",0.80,"1,209",-3.70,"9,792",-1.73,51,8.59,"1,215",2.07,"28,258",2.36,"64,021",1.10,"6,585",-1.67,"7,159",3.65,"1,769",0.61,"4,422",-2.04,584,-10.42,"2,796",2.02,"5,021",2.03,-,-,36,2.71,1,-60.42,"1,631",2.64,"3,451",2.81,...,...,"4,105",28.36,27,58.82,4,-20.00,104,62.50,1,0.00,23,-36.11,356,5.33,"1,934",15.95,16,220.00,888,71.43,40,0.00,4,100.00,43,86.96,126,35.48,133,19.82,-,-,2,100.00,-,-,90,21.62,314,55.45,...,...,621,14.72,4,21.16,1,-37.29,20,-6.09,0,0.00,3,-68.10,119,12.60,266,1.88,7,883.43,105,73.99,6,-23.84,1,103.26,9,61.05,17,-23.94,24,47.26,-,-,0,-12.00,-,-,8,7.98,30,70.60,...,...,"2,663",-12.40,7,-12.50,8,-11.11,63,-30.00,-,-,18,20.00,240,7.62,"1,532",-14.89,31,-24.39,347,-1.98,29,20.83,2,-66.67,26,44.44,69,-2.82,92,-33.81,-,-,2,...,-,-,59,-11.94,138,-20.23,...,...,605,6.99,17,128.43,1,-44.49,21,4.03,-,-,6,194.54,111,23.81,306,3.46,4,-63.41,56,-5.93,6,97.01,1,-26.19,13,78.50,15,-32.90,24,17.25,-,-,1,...,-,-,6,-12.23,17,5.55,...,...
2009M08,"750,955",0.59,"4,018",5.13,"1,968",-2.48,"41,492",-0.68,159,0.63,"2,797",4.68,"56,524",1.96,"456,674",-0.08,"29,544",-1.45,"49,117",6.48,"5,494",-0.88,"2,495",-4.00,"2,431",2.66,"13,816",1.65,"19,973",0.98,-,-,176,6.67,3,-25.00,"14,518",0.36,"49,756",1.44,...,...,"140,847",1.13,"2,559",1.22,"1,211",-4.06,"9,800",-1.84,52,5.99,"1,211",1.65,"28,331",2.40,"64,168",1.20,"6,585",-1.66,"7,211",4.14,"1,770",0.56,"4,421",-1.82,586,-9.62,"2,797",1.76,"5,009",1.60,-,-,36,6.90,1,-60.42,"1,639",3.86,"3,462",2.77,...,...,"3,341",21.62,19,46.15,6,20.00,79,71.74,2,...,20,-35.48,316,14.49,"1,590",6.21,7,16.67,767,74.32,34,0.00,1,0.00,27,0.00,73,7.35,97,-3.00,-,-,2,100.00,-,-,62,44.19,239,50.31,...,...,523,-32.97,11,468.88,1,-81.18,13,8.60,1,...,3,-29.01,107,19.17,235,-4.71,1,-12.51,84,52.55,4,-9.98,0,33.33,6,40.43,12,-9.95,15,-9.36,-,-,1,150.00,-,-,5,-1.04,21,-93.33,...,...,"2,211",-17.41,10,-28.57,2,-50.00,48,-12.73,-,-,12,20.00,180,-21.74,"1,238",-21.99,22,-29.03,343,16.67,26,4.00,4,33.33,13,-7.14,53,-23.19,78,-21.21,-,-,1,-75.00,-,-,60,-18.92,121,-21.94,...,...,449,-21.61,11,-21.49,2,114.29,17,63.40,-,-,2,-60.53,64,-47.41,244,-17.40,3,-62.59,51,11.63,6,-24.56,1,433.33,3,-59.91,11,-7.84,15,-13.05,-,-,0,-99.73,-,-,5,-51.73,14,-0.42,...,...
